T21,"Total imports, exports and balance of trade",,,,,,,
Region/Country/Area,,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
18,Southern Africa,2024,Balance imports/exports (millions of US dollars),,,"1,594",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
11,Western Africa,1995,Imports CIF (millions of US dollars),,,"19,153",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
11,Western Africa,2005,Imports CIF (millions of US dollars),,,"44,948",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
11,Western Africa,2010,Imports CIF (millions of US dollars),,,"83,254",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
11,Western Africa,2015,Imports CIF (millions of US dollars),,,"89,411",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
11,Western Africa,2022,Imports CIF (millions of US dollars),,,"150,390",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
11,Western Africa,2023,Imports CIF (millions of US dollars),,,"157,206",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
11,Western Africa,2024,Imports CIF (millions of US dollars),,,"135,570",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
11,Western Africa,1995,Exports FOB (millions of US dollars),,,"21,750",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
11,Western Africa,2005,Exports FOB (millions of US dollars),,,"71,221",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
11,Western Africa,2010,Exports FOB (millions of US dollars),,,"113,448",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2025."
